"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 16 10:18:10 EET 2023","Tue May 16 10:18:10 EET 2023","0","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Tue May 16 10:18:10 EET 2023","Tue May 16 10:18:10 EET 2023","1","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Tue May 16 10:18:10 EET 2023","Tue May 16 10:18:10 EET 2023","0","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"broken","Tue May 16 10:13:00 EET 2023","Tue May 16 10:18:10 EET 2023","309443","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Tue May 16 10:18:10 EET 2023","Tue May 16 10:18:10 EET 2023","1","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"passed","Wed May 03 12:24:12 EET 2023","Wed May 03 12:24:23 EET 2023","10902","Default Suite","Pilot Project","com.pilot.pilot_project.LoginTest","com.pilot.pilot_project.LoginTest","changeLanguageToEnglish","changeLanguageToEnglish",""
"passed","Tue May 16 10:12:24 EET 2023","Tue May 16 10:12:39 EET 2023","14890","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","User_Can_Login_Successfully","User_Can_Login_Successfully",""
"skipped","Tue May 16 10:18:10 EET 2023","Tue May 16 10:18:10 EET 2023","1","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"skipped","Tue May 16 10:18:10 EET 2023","Tue May 16 10:18:10 EET 2023","0","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
"failed","Fri May 12 11:54:58 EET 2023","Fri May 12 11:56:05 EET 2023","67030","Default Suite","Selenium Framework","tests.AllowenceRequestTest","tests.AllowenceRequestTest","Fill_Allowence_Data_Request","Fill_Allowence_Data_Request",""
